flora: 203327 trees
groundcover: 101756 undergrowth, 37098 reeds, 16681 stone, 934 fishing
  the ground itself: 1305 clay banks, 1362 sand, 969 salt
deposits: 198 bodies | orogenic=46/22890 porphyry=30/11607 basin=52/25217 craton=30/13867 highland=40/17565 (bodies/cells)
  outcrops: 661 | bodies reachable without prospecting 152/198 | orogenic=44/46 porphyry=30/30 basin=33/52 craton=7/30 highland=38/40
straightest vertical coast: 27 cells at x=1392, y=164..191

---- cut across y=164 (x from 1384 to 1400) ----
   x   elev  biome              temp moist
 1384   4081  ShallowSea          26    86
 1385   4093  ShallowSea          26    86
 1386   4104  ShallowSea          26    87
 1387   4115  ShallowSea          26    87
 1388   4131  ShallowSea          26    88
 1389   4158  ShallowSea          26    88
 1390   4188  ShallowSea          26    88
 1391   4219  ShallowSea          26    89
 1392   4250  ShallowSea          26    90   <-- seam
 1393   4410  RockyShore          25    88
 1394   4418  RockyShore          25    87
 1395   4425  Bog                 25    85
 1396   4432  Bog                 25    83
 1397   4434  Bog                 25    81
 1398   4434  Bog                 25    79
 1399   4435  Taiga               25    77
 1400   4436  Taiga               25    75

---- cut across y=177 (x from 1384 to 1400) ----
   x   elev  biome              temp moist
 1384   4035  ShallowSea          26    88
 1385   4055  ShallowSea          26    88
 1386   4074  ShallowSea          26    89
 1387   4093  ShallowSea          26    89
 1388   4116  ShallowSea          26    90
 1389   4150  ShallowSea          26    90
 1390   4186  ShallowSea          26    89
 1391   4221  ShallowSea          26    89
 1392   4256  ShallowSea          26    89   <-- seam
 1393   4412  RockyShore          26    88
 1394   4420  RockyShore          26    87
 1395   4428  Bog                 26    87
 1396   4436  Bog                 26    86
 1397   4440  Bog                 26    85
 1398   4443  Bog                 26    84
 1399   4446  Bog                 26    83
 1400   4449  Bog                 26    82

---- cut across y=191 (x from 1384 to 1400) ----
   x   elev  biome              temp moist
 1384   4088  ShallowSea          27    93
 1385   4109  ShallowSea          27    93
 1386   4130  ShallowSea          27    92
 1387   4150  ShallowSea          27    91
 1388   4172  ShallowSea          27    90
 1389   4200  ShallowSea          27    89
 1390   4227  ShallowSea          27    88
 1391   4253  ShallowSea          27    87
 1392   4409  RockyShore          26    85   <-- seam
 1393   4416  RockyShore          26    83
 1394   4423  Bog                 26    82
 1395   4430  Bog                 26    82
 1396   4438  Bog                 26    80
 1397   4444  Bog                 25    79
 1398   4450  Taiga               25    77
 1399   4457  Taiga               25    74
 1400   4463  Taiga               25    72
